ciudad,centro,direccion,horario,web,despachos_m2,capacidad_salas,servicios,notas,activo
Castellón,Dean Marti,"Calle Dean Martí 46, entlo, 12004 Castellón de la Plana",Recepción 8:30-18:00. 24h  acceso bajo petición,https://www.oficinasya.es/castellon-alquiler-despachos-oficinas-castellon/,6 a 30 m2,20 pax (aula 18 pax),"despachos, salas de reuniones, smart office, aula de formación",Descuentos por pago anual en oficina virtual. Aula con proyector.,si
A Coruña,Andres Martinez Salazar,"Calle Andrés Martínez Salazar 3, 1º, 15011 A Coruña",Recepcion Jul-sep 9:00-14:00. Resto del año L-J jornada completa,,18 a 68 m2,"aula 20 pax, sala 7 pax","despachos, salas de reuniones, smart office, aula de formación",Smart office incluye 2h de sala al mes. Punto PAE.,si
A Coruña,Juan de la Cierva,"Calle Juan de la Cierva 5, A Coruña",Recepcion Jul-sep 9:00-14:00. Resto del año L-J jornada completa,https://www.oficinasya.es/a-coruna-alquiler-de-despachos-y-oficinas-en-a-coruna/,,hasta 50 pax,"despachos, salas de reuniones, smart office, coworking",,si
Málaga,Calle Larios,"Calle Larios 1, 3º izda, Málaga",Recepción 9:30-14:30,https://www.oficinasya.es/malaga-alquiler-de-oficinas-y-despachos-en-malaga/,17 a 38 m2,12 pax,"despachos, salas de reuniones, smart office",,si
Mérida,Edificio Delgado Casamayor,"Calle Sta. Teresa Jornet 48, 06800 Mérida, Badajoz",Recepción 9:00-14:00 y 16:00-19:30,https://www.oficinasya.es/merida-alquiler-de-oficinas-y-despachos-en-merida/,,hasta 40 pax,"despachos, salas de reuniones, smart office",,si
Murcia,Marla Center,"Avenida Doctor Pedro Guillén 5, 30100 Murcia",Recepcion L-V 7:00-24:00. S-D 9:00-24:00,https://www.oficinasya.es/murcia-alquiler-de-despachos-y-oficinas-en-murcia/,17 a 250 m2,hasta 200 pax,"despachos, salas de reuniones, smart office, eventos",Espacios para eventos de gran capacidad.,si
Murcia,Edificio Magalia (Alcantarilla),"Calle Uruguay, parcela 13/21, Polígono Industrial Oeste, 30820 Alcantarilla, Murcia",Recepcion L-V 8:00-14:00 y 16:00-20:00,https://www.oficinasya.es/murcia-alquiler-de-despachos-y-oficinas-en-murcia-poligono-industrial-oeste/,14 a 86 m2,hasta 275 pax,"despachos, salas de reuniones, smart office, eventos",,si
Murcia,Coliving Condado de Alhama,"Ctra. de Mazarrón KM 33, 30840 Alhama de Murcia","Centro autónomo, acceso 24/7",https://www.oficinasya.es/coliving-murcia-vive-y-trabaja-en-un-lugar-diferente/,50 a 60 m2,6 pax,"coliving, despachos",Vivir y trabajar en el mismo espacio.,si
Salamanca,Edificio Openhouse,"Calle Segunda 43-49, 37188 Carbajosa de la Sagrada, Salamanca",Recepción L-V 8:00-20:00,https://www.oficinasya.es/coworking-salamanca-alquiler-de-despachos-y-oficinas-en-salamanca/,22 a 210 m2,15 y 60 pax,"despachos, salas de reuniones, smart office, coworking",,si
Segovia,Padre Claret,"Avenida Padre Claret 12, 40001 Segovia",Recepción L-V 8:00-19:00 (verano 8:00-15:00),https://www.oficinasya.es/segovia-alquiler-de-despachos-y-oficinas-en-avenida-padre-claret/,9 a 20 m2,8 pax,"despachos, salas de reuniones, smart office",Descuentos por uso prolongado de despacho por horas.,si
Segovia,Ezequiel González,"Paseo Ezequiel González 32, 40002 Segovia",Recepción L-V 8:00-21:00,https://www.oficinasya.es/segovia-alquiler-de-despachos-y-oficinas-en-paseo-ezequiel-gonzalez/,9 a 20 m2,4 a 50 pax,"despachos, salas de reuniones, smart office",,si
Sevilla,Laraña,"Calle Laraña 4, planta 3, 41003 Sevilla",Recepción L-J 9:00-14:00 y 15:00-19:00. V 9:00-15:00,https://www.oficinasya.es/sevilla-alquiler-de-oficinas-y-despachos-en-sevilla/,,8 pax,"despachos, salas de reuniones, smart office",,si
Sevilla,Edificio Galia Puerto,"Avenida José Delgado Brackembury 11, 1ª planta, 41011 Sevilla",Recepción L-V 8:00-15:30. Acceso 24/7,https://www.oficinasya.es/sevilla-alquiler-de-oficinas-y-despachos-en-sevilla-galia/,10 a 60 m2,12 a 90 pax (150 en formato abierto),"despachos, salas de reuniones, smart office, eventos",,si
Sevilla,Edificio Nervión,"Avenida Eduardo Dato 69, plantas 4 y 7, 41005 Sevilla",Recepción L-V 8:30-15:30. Acceso 24/7,https://www.oficinasya.es/sevilla-nervion-alquiler-de-oficinas-y-despachos-en-sevilla/,10 a 80 m2,7 a 18 pax,"despachos, salas de reuniones, smart office",Sala VIP para 12 personas.,si
Tenerife,Santa Rosalía,"Calle de Santa Rosalía 49, 38002 Santa Cruz de Tenerife",Recepción L-V 8:30-20:00. Acceso 24h,https://www.oficinasya.es/tenerife-alquiler-de-despachos-y-oficinas-en-tenerife/,9 a 70 m2,10 y 4 pax,"despachos, salas de reuniones, smart office",,si
Tenerife,Costa y Grijalba,"Calle Costa y Grijalba 10, 38004 Santa Cruz de Tenerife",Recepción L-V 8:30-20:00. Acceso 24h,https://www.oficinasya.es/tenerife-alquiler-de-despachos-y-oficinas-en-tenerife-2/,9 a 80 m2,8 pax,"despachos, salas de reuniones, smart office",,si
Tenerife,La Luna Coliving,"Calle La Luna 8, 38002 Santa Cruz de Tenerife","Centro autónomo, acceso 24/7",,16 a 25 m2,10 pax,"coliving, despachos",Vivir y trabajar en el mismo espacio.,si
Valencia,Guillem de Castro,"Calle Guillem de Castro 9, plantas 5ª y 6ª, 46007 Valencia",Recepcion L-V 9:00-14:00 y 15:15-19:00 (tardes de L a J),https://www.oficinasya.es/valencia-alquiler-de-despachos-y-oficinas-en-valencia/,14 a 24 m2,28 pax,"despachos, salas de reuniones, smart office, aula de formación",,si
Vigo,Plaza Compostela,"Plaza de Compostela 23, 2º D, 36201 Vigo",Recepcion L-V 9:00-20:00,https://www.oficinasya.es/vigo-alquiler-de-oficinas-y-despachos-en-galicia/,9 a 24 m2,17 pax,"despachos, salas de reuniones, smart office",,si
Zaragoza,Independencia,"Paseo de la Independencia 8 duplicado, 2ª planta, 50004 Zaragoza",Recepción L-J 8:30-19:00. V 8:30-15:00. Agosto 8:30-14:30,https://www.oficinasya.es/zaragoza-alquiler-de-despachos-y-oficinas-en-zaragoza/,10 a 30 m2,12 pax,"despachos, salas de reuniones, smart office",,si
